ticker,company_name,sector,quantity,buy_price,current_price
XZTC,StreamCom Com,Communication,18,375.94,407.21
HSVA,LuxFashion Motors,Consumer Discretionary,32,34.3,40.43
AFYP,BasicGoods Stores,Consumer Staples,116,221.37,208.53
LDCN,HydroRenewables Power,Energy,102,123.35,138.84
DNCT,FinPartners Partners,Financials,73,309.79,366.26
CBXH,BioBiotech Sciences,Healthcare,95,297.13,239.9
MFMM,HeavyIndustries Works,Industrials,111,435.91,407.87
TZHF,ShieldLife Insurance,Insurance,26,312.38,379.64
LBHB,GlassPackaging Materials,Materials,92,494.97,462.1
YLGW,MetroDevelopers Realty,Real Estate,77,51.77,46.75
TJZU,LogicDynamics Devices,Technology,76,240.25,256.43
SRCB,VoltNetworks Energy,Utilities,22,193.76,235.39
VQSJ,TeleMedia Media,Communication,53,400.2,409.18
JWLD,LuxMotors Motors,Consumer Discretionary,73,347.22,385.64
SFSD,HomeBrands Goods,Consumer Staples,38,237.79,340.59
MFTS,ThermoRenewables Utilities,Energy,24,312.31,304.44
KHBH,FinFinancial Partners,Financials,111,254.53,308.09
CTEE,CarePharma Pharma,Healthcare,109,371.32,442.06
TZYG,IndusCorp Tools,Industrials,32,99.26,83.16
MQSQ,SecureLife General,Insurance,88,497.67,516.31
HACY,ChemMining Mining,Materials,80,50.73,66.29
LCSH,PropProperties Estates,Real Estate,9,52.35,58.12
URHR,QuantumDevices Dynamics,Technology,78,122.83,167.54
MPPQ,VoltUtility Grid,Utilities,60,66.53,92.57
HGGT,StreamCom Com,Communication,18,49.09,50.85
HCQT,FunRetail Fashion,Consumer Discretionary,64,108.07,82.11
HFPR,FreshFoods Stores,Consumer Staples,113,421.29,624.93
NANJ,PetroPower Oil,Energy,26,453.17,453.36
XYRE,UnionSecurities Partners,Financials,76,223.04,367.95
ZTBZ,MediSciences Labs,Healthcare,79,484.98,447.85
BSCF,HeavyIndustries Industries,Industrials,25,300.41,218.62
NDUH,SafeRe Insurance,Insurance,35,344.1,369.46
LJGX,MetalFilms Chemicals,Materials,71,317.3,276.6
XWKQ,PropRealty Estates,Real Estate,21,147.49,176.37
TGSJ,NanoSystems Systems,Technology,14,239.98,403.03
KFQT,WaterServices Grid,Utilities,52,442.05,474.84
TKXD,StreamNetworks Digital,Communication,90,492.25,569.8
TEJK,StyleLeisure Motors,Consumer Discretionary,100,447.06,390.37
JBCW,BasicGoods Essentials,Consumer Staples,67,117.73,116.12
EWJF,PetroRenewables Energy,Energy,103,21.7,21.15
YETB,WealthSecurities Financial,Financials,118,358.72,358.24
EBKM,GenSciences Biotech,Healthcare,60,285.21,298.69
PVZE,BuildSystems Works,Industrials,76,347.39,346.06
FZLP,ShieldAssurance Assurance,Insurance,8,443.08,413.93
RHGQ,PolyMining Materials,Materials,9,96.41,98.99
GNLJ,MetroRealty Estates,Real Estate,89,127.0,115.76
LADJ,CloudWorks Works,Technology,73,327.91,219.77
PMZL,WaterNetworks Services,Utilities,81,38.36,52.9
YPAS,BroadDigital Digital,Communication,10,75.51,88.67
LVLX,LuxRetail Leisure,Consumer Discretionary,90,227.02,229.52
TEGP,FreshEssentials Stores,Consumer Staples,42,168.46,156.13
NTAK,GridOil Power,Energy,43,315.45,372.05
QXGS,TrustHoldings Securities,Financials,61,397.16,379.52
WVLC,PharmaLabs Pharma,Healthcare,89,156.22,153.31
VCQP,SteelSystems Works,Industrials,65,407.15,453.27
RNHE,SecureRe Assurance,Insurance,54,364.81,410.14
SQBT,PolyChemicals Chemicals,Materials,94,393.64,450.02
XSTV,PrimeProperties Developers,Real Estate,64,84.0,117.5
QFZR,NanoDynamics Innovations,Technology,75,411.2,504.88
SRWH,VoltServices Utility,Utilities,40,423.13,406.56
TCEE,NetBroadcast Com,Communication,119,362.5,397.24
PPLT,StyleFashion Retail,Consumer Discretionary,13,359.08,446.0
YAUN,PureBrands Foods,Consumer Staples,79,119.28,87.99
PTZZ,PetroEnergy Renewables,Energy,54,163.33,207.07
LXXN,MoneyFinancial Holdings,Financials,54,254.35,267.12
TANU,LifeLabs Health,Healthcare,84,461.38,593.06
JNLG,ForgeIndustries Industries,Industrials,11,328.52,398.11
JPJC,AssureLife Life,Insurance,53,385.39,474.36
WBAH,GlassChemicals Films,Materials,13,45.0,54.11
RXDU,PrimeProperties Homes,Real Estate,21,93.14,97.04
YDFK,CyberDynamics Devices,Technology,100,143.0,130.57
XNNY,PowerNetworks Grid,Utilities,78,465.87,587.1
KXVD,MediaCom Digital,Communication,103,351.49,359.16
MCSW,LuxMotors Leisure,Consumer Discretionary,89,275.72,281.28
QYEP,HomeFoods Brands,Consumer Staples,86,414.72,597.62
RQPZ,SolarUtilities Renewables,Energy,73,315.64,429.9
QHQU,MoneyPartners Partners,Financials,117,428.82,479.09
LFRG,CareHealth Sciences,Healthcare,113,33.78,34.22
ASGC,HeavySystems Systems,Industrials,76,154.24,119.52
YRWY,ShieldGeneral General,Insurance,35,286.48,249.06
XUMR,GlassPackaging Chemicals,Materials,44,64.67,73.01
TLMY,SkyHomes Realty,Real Estate,100,224.24,303.12
ZTYF,LogicWorks Works,Technology,20,140.67,163.95
SVKD,WaterUtility Energy,Utilities,80,152.72,177.3
JBBT,MediaNetworks Media,Communication,21,193.22,191.08
UKRR,TravelRetail Fashion,Consumer Discretionary,6,69.24,93.29
CNRC,PureEssentials Goods,Consumer Staples,19,483.44,519.42
KCHD,WindEnergy Power,Energy,77,91.61,131.74
QQKU,MoneySecurities Financial,Financials,53,306.14,260.53
ZDGW,PharmaSciences Biotech,Healthcare,83,318.09,276.49
PQYV,SteelSystems Industries,Industrials,5,95.39,106.15
KYQC,AssureLife Insurance,Insurance,95,131.11,149.87
PDTH,PolyMining Materials,Materials,30,398.16,355.48
BFKV,PropEstates Realty,Real Estate,14,416.78,372.05
STRQ,QuantumDynamics Systems,Technology,39,244.98,249.66
LVJA,PowerNetworks Grid,Utilities,99,446.92,559.65
JUBF,TeleMedia Digital,Communication,110,301.82,417.61
UPWR,FunNext Fashion,Consumer Discretionary,28,459.71,514.78
LPYR,FreshBrands Essentials,Consumer Staples,25,216.01,225.4
LJLD,HydroOil Utilities,Energy,16,37.61,43.49
PBGS,UnionSecurities Financial,Financials,64,415.97,600.31
BGJT,BioBiotech Health,Healthcare,102,320.2,346.66
VHYF,SteelSystems Corp,Industrials,85,442.81,459.03
HDQD,GuardRe Insurance,Insurance,16,285.08,309.08
RRHQ,PolyMining Packaging,Materials,58,467.67,470.86
SZEC,SkyEstates Developers,Real Estate,81,111.49,150.71
ZKUU,QuantumDynamics Works,Technology,41,468.44,349.81
MLTT,AquaEnergy Utility,Utilities,66,234.34,249.29
HPBL,BroadBroadcast Networks,Communication,54,437.41,530.14
WERB,SportFashion Fashion,Consumer Discretionary,89,205.32,218.46
SQAZ,DailyStores Stores,Consumer Staples,17,179.36,244.06
JLVY,SolarOil Power,Energy,105,55.92,71.85
WYRT,CreditBank Partners,Financials,45,429.12,511.35
KHZC,HealthBiotech Pharma,Healthcare,92,132.69,125.25
LBKM,MachineIndustries Industries,Industrials,10,232.97,220.36
UXFF,GuardGeneral Assurance,Insurance,57,137.21,98.06
EHQW,MineChemicals Films,Materials,79,438.0,430.3
QKXT,MetroDevelopers Realty,Real Estate,120,340.08,336.24
YJQK,DataSystems Dynamics,Technology,59,473.71,583.29
UMUK,WaterEnergy Energy,Utilities,53,71.19,76.05
XZBV,StreamNetworks Com,Communication,77,489.41,490.09
VMHW,SportFashion Leisure,Consumer Discretionary,34,392.36,376.32
EWDW,DailyStores Essentials,Consumer Staples,112,345.33,356.39
UMZE,GridEnergy Renewables,Energy,9,398.53,326.91
MSSJ,FinPartners Partners,Financials,74,378.79,425.44
KZLD,GenLabs Sciences,Healthcare,66,458.74,534.69
NTMC,MachineIndustries Works,Industrials,91,381.99,428.31
MXZX,AssureInsurance Life,Insurance,63,277.55,373.91
RAVT,PaperFilms Packaging,Materials,34,414.76,481.21
